raw_comment,normalize_comment,emoji_decode
Sản phẩm hơi bó nách..,sản phẩm hơi bó nách,
"Bóp quá đơn giản tới mức chẳng bỏ được cái thẻ nào vào, dở tệ",bóp quá đơn giản tới mức chẳng bỏ được cái thẻ nào vào dở tệ,
"Giao hàng lâu, giao nội thành HN mà 4 ngày mới nhận được.
Chất lượng kém. Đặt XL tuy nhiên mình 1m70 62kg mặc ngắn. Mặc zô suột chỉ bên hông 1 đường từ nách xuống hết mặc được luôn. 
Giá này thì mạo hiểm, coi như mình xui v...",giao hàng lâu giao nội thành mà ngày mới nhận được chất lượng kém đặt xl tuy nhiên mình kg mặc ngắn mặc suột chỉ bên hông đường từ nách xuống hết mặc được luôn giá mạo hiểm coi như xui,
Giao hàng nhanh nhưng áo bị bục 1 lỗ như hình chán,giao hàng nhanh nhưng áo bục lỗ như hình chán,
Bữa m đặt 1 quân đũi ngăn mầu trắng thì ship chuẩn đpẹ . đặt thêm 1 quân mầu ghi thì ship quần loại khác chán,bữa đặt quân đũi ngăn mầu trắng ship chuẩn đặt thêm quân mầu ghi ship quần loại khác chán,
"Mua mấy cái này cute xĩu , mua xong là ghiền luôn 
.....
.......",mua mấy cái cute xĩu mua xong là ghiền luôn,
Xỉu vì độ cute của chiếc quạt ạ tiếc là mình chỉ đặt 2c huhu😅😅 quạt nhỏ vừa tầm mát lắm nha hihịi đẹp quá ko lỡ quạt😭😭,xỉu vì độ cute của chiếc quạt tiếc là chỉ đặt c quạt nhỏ vừa tầm mát lắm đẹp quá không lỡ quạt,sweat_smile sweat_smile sob sob
"Rất đáng tiền , đóng gói cẩn thận , balo xinh , như mẫu !!!!!!!!!",rất đáng tiền đóng gói cẩn thận xinh như mẫu,
Khách dựa vào kích thước size shop đưa ra để chọn size phù hợp. CHẤP NHẬN SAI SỐ TỪ 1-3cm. Nhưng rõ ràng váy nhận về NHỎ HƠN 8CM? Và shop Không giải quyết mà trả lời NGANG NHƯ CUA. Còn bảo mình xem bạn bè có ai mặc được không.Ủa gì vậy ?Vậy tôi mua cho ai? Vậy shop để kích thước làm gì vậy??,khách dựa vào kích thước size đưa ra chọn size phù hợp chấp nhận sai số từ cm nhưng rõ ràng váy nhận về nhỏ hơn cm không giải quyết mà trả lời ngang như cua còn bảo xem bạn bè có ai mặc được không ủa gì vậy mua cho ai kích thước làm gì,
"Giày màu y hình, gói hàng bình thường, giao hàng khá nhanh. Oke",giày màu y hình gói hàng bình thường giao hàng khá nhanh ok,
quần mặc k lên form đc như hình. mk hơi thấp nên cảm thấy hơi dài. chất vải cũng tạm ổn,quần mặc không lên form được như hình hơi thấp nên cảm thấy hơi dài chất vải cũng tạm ổn,
Khác mẫu,khác mẫu,
Vải tạm ạ còn nhãn áo thì không giống hình ạ.,vải tạm còn nhãn áo không giống hình,
"Da thật, gói hàng nguyên vẹn",da thật gói hàng nguyên vẹn,
Mặc 3 ngày chắc dão hết chun,mặc ngày chắc dão hết chun,
"Hàng siêu xịn. Nhiều ngăn để thẻ và ngăn để tiền rộng, thoải mái.
Cực thích ví này của shop luônnm",hàng siêu xịn nhiều ngăn thẻ ngăn tiền rộng thoải mái cực thích ví của,
"Xin lỗi vì hình ảnh không liên quannnn ạ, tại vì bộ này chưa mặc nên chưa đem ra. Cơ bản vải mỏng, tiền nào của đó ý :D",xin lỗi vì hình ảnh không liên quan tại vì bộ chưa mặc nên chưa đem ra cơ bản vải mỏng tiền nào của ý d,
Vì mini nhưng còn to hơn cả ví thường là sao :)))). Cầm lên chán luôn,vì mini nhưng còn to hơn cả ví thường là cầm lên chán luôn,
"Không giống hình, dây mỏng hơn hình",không giống hình dây mỏng hơn hình,
chất vải tốt đúng size đúng mẫu mua ... nhân viên tư vấn rất nhiệt tình shop rất co tâm ....,chất vải tốt đúng size đúng mẫu mua nhân viên tư vấn rất nhiệt tình rất co tâm,
Bẩn với mốc ở mặt xong,bẩn mốc ở mặt xong,
hơi rộng so với size,hơi rộng so size,
chất lượng sản phẩm tuyệt vời giao hàng nhanh chóng đóng gói sản phẩm tốt,chất lượng sản phẩm tuyệt vời giao hàng nhanh chóng đóng gói sản phẩm tốt,
Chất liệu thì khá ưng. Áo trắng bị vệt bẩn nhưng thui thế là oke rồi hihi. Mn nên mua nha. Với giá tiền như thế mà được quả áo ưng lắm,chất liệu khá ưng áo trắng vệt bẩn nhưng thui là ok mọi người nên mua giá tiền như mà được quả áo ưng lắm,
Vải co giãn tốt nhưng may lỗi nhìn không được đẹp cho lắm. Đặt LV nhỏ mà giao LV lớn,vải co giãn tốt nhưng may lỗi nhìn không được đẹp cho lắm đặt nhỏ mà giao lớn,
"mua được sale giá 1k 
chất lượng sản phẩm tốt
giao hàng nhanh chóng",mua được sale giá không chất lượng sản phẩm tốt giao hàng nhanh chóng,
"Sản phẩm OK, màu giống hình.",sản phẩm ok màu giống hình,
Chất liệu ok.sản phẩm dk so với tầm giá,chất liệu ok sản phẩm so tầm giá,
"Sp đẹp đúng màu, đúng mã mà shipper sao lại k cho kiểm tra hàng vậy nhỉ làm giao sai một món k đúng như hình. Còn lại yhi sp đều rất okila",sản phẩm đẹp đúng màu đúng mã mà không cho kiểm tra hàng nhỉ làm giao sai một món không đúng như hình còn sản phẩm đều rất,
K hề giao hàng,không hề giao hàng,
Áo đẹp như mô tả,áo đẹp như mô tả,
"Đóng gói tốt, ship tốt, đúng giá tiền , rất ưa sản phẩm, okela shop ơi",đóng gói tốt ship tốt đúng giá tiền rất ưa sản phẩm ok ơi,
"Quần áo hơi rộng,mk đặt size 2xl chắc do shop giao nhầm thành size 3xl . Mà lỡ cắt tem mác rồi nên thôi.",quần áo hơi rộng đặt size xl chắc do giao nhầm thành size xl mà lỡ cắt tem mác nên,
"Chất liệu tốt, giao hàng nhanh, shop phục vụ tốt, rất ưng ý, sẽ ủng hộ lần sau",chất liệu tốt giao hàng nhanh phục vụ tốt rất ưng ý sẽ ủng hộ lần sau,
Rất đẹp. Đeo lên rất cute 😍😍 gavgsnsnzbzbbznxbxbsbznnsbsbdndndnheehhebebb,rất đẹp đeo lên rất cute,heart_eyes heart_eyes
"Áo siêu đẹp , chất siêu ưng luôn 😊 có dịp sẽ ủng hộ shop tiếp",áo siêu đẹp chất siêu ưng luôn có dịp sẽ ủng hộ tiếp,blush
"Siêu xinhh luôn nhaaa , giao đúng đủ hàngg ,hàng đẹp y ảnhhh sẽ ủng hộ shop dàiiii",siêu xinh luôn giao đúng đủ hàng hàng đẹp y ảnh sẽ ủng hộ dài,
quá tuyệt vời ổn hơi so với giá tiền,quá tuyệt vời ổn hơi so giá tiền,
"Hàng đẹp giống hình
Giao nhanh, đóng gói cũng ổn
Nhìn chung thì ok nha",hàng đẹp giống hình giao nhanh đóng gói cũng ổn nhìn chung ok,
Đồ giống với ảnh mình tạng người lớn con mà bận thấy thoải mái,đồ giống ảnh tạng người lớn con mà bận thấy thoải mái,
Em nó hơi to quá mức hiuhiu có cái không biết như nào để cài dây luôn kkk to quá nên nhìn hơi thô chất lượng thì ổn ship vui tính,em hơi to quá mức có cái không biết như nào cài dây luôn không to quá nên nhìn hơi thô chất lượng ổn ship vui tính,
Hahajakaskssddnfnckcixdsnsdmkxcl là c.bsjjdjxhhchxjsnsnd,là c,
"Ck mình 53 kg nhưng đặt size Xl mặc bị chật, vải thì ok",chuyển khoảng kg nhưng đặt size xl mặc chật vải ok,
"Chất lượng không đẹp, không giống như trong hình, quá tệ, thậc sự !",chất lượng không đẹp không giống như trong hình quá tệ thậc sự,
Hơi nhỏ và nhăn nheo,hơi nhỏ nhăn nheo,
Mấy đôi hỏng đá kia thì đeo sao,mấy đôi hỏng đá kia đeo,
Giao sai hàng. Đặt hàng giao ko đúng.,giao sai hàng đặt hàng giao không đúng,
"Đẹp. Mua cho bố, bố rất thích",đẹp mua cho bố bố rất thích,
Nhận hàng mở ra thấy 1 vết đen trên áo. Haizz. Rẻ nhưng mua k mặc đc thì lãng phí. 3 sao.,nhận hàng mở ra thấy vết đen trên áo rẻ nhưng mua không mặc được lãng phí,
"Dm sản phẩm như đầu buồi trc khi đặt đã dặn kĩ rồi nhưng vì mấy đồng bạc vẫn gửi kiểu dối trá,phản hồi lại thì đéo thèm nhắn lại để giải quyết cho chuẩn",sản phẩm như đầu buồi đặt dặn kĩ nhưng vì mấy đồng bạc vẫn gửi kiểu dối trá phản hồi đéo thèm nhắn giải quyết cho chuẩn,
"Không hài lòng vì tin tưởng mua lần 2 tại shop, giao hàng bị lỗi, nt qua shopee thì lại yc nt qua sđt, nt số đt thì shop không có phản hồi. Sp không đáng là bao tiền nhưng cách phục vụ kém! Sẽ không mua hàng của shop nữa!",không hài lòng vì tin tưởng mua lần tại giao hàng lỗi qua qua số không có phản hồi sản phẩm không đáng là bao tiền nhưng cách phục vụ kém sẽ không mua hàng của,
"Thời gian giao hàng hơi lâu,chất lượng sản phẩm tốt,đóng gói sản phẩm ok",thời gian giao hàng hơi lâu chất lượng sản phẩm tốt đóng gói sản phẩm ok,
"Áo xinh xỉu luôn shop ơi
Mà còn thơm nữa
Sẽ ủng hộ lâu dài ❤️",áo xinh xỉu luôn ơi mà còn thơm sẽ ủng hộ lâu dài,heart
"Shop giao ko đúng màu.
Shop có yêu cầu ko ưng thì trả hàng nhưng thôi, thủ tục lằng nhằng, mất thời gian chờ đợi.",giao không đúng màu có yêu cầu không ưng trả hàng nhưng thủ tục lằng nhằng mất thời gian chờ đợi,
"Ví đẹp,Đóng gói sản phẩm cũng đẹp, vận chuyển xa nhưng không bị bóp méo hộp, vận chuyển nhanh nhưng của mh không có phiếu bảo hành, không biết có được bảo hành không",ví đẹp đóng gói sản phẩm cũng đẹp vận chuyển xa nhưng không bóp méo hộp vận chuyển nhanh nhưng của không có phiếu bảo hành không biết có được bảo hành không,
"Đặt áo màu trắng shop lại giao màu đen, chất vải ok tạm được :)))",đặt áo màu trắng giao màu đen chất vải ok tạm được,
"Rẻ nên không được đẹp lắm, lỗi nhiều chỗ, chỉ thừa cũng nhiều, nchung là mặc được, nhưng muốn mặc đẹp thì đừng mua nhé",rẻ nên không được đẹp lắm lỗi nhiều chỗ chỉ thừa cũng nhiều nói chung là mặc được nhưng muốn mặc đẹp đừng mua nhé,
Hàng mõng đường chĩ may lỗi dã man.mua về đem bõ luôn,hàng mõng đường chĩ may lỗi dã man mua về đem bõ luôn,
Ok đã nhận hàng. Hàng giá rẻ nên cũng chấp nhận được đi. Chất lượng thì khó đảm bảo đc,ok nhận hàng hàng giá rẻ nên cũng chấp nhận được đi chất lượng khó đảm bảo được,
Đã nhận được hàng rồi nha. Cà vạt đẹp nha. 👍👍Chúc shop bán đắt hàng nha. 🤗🤗,nhận được hàng cà vạt đẹp chúc bán đắt hàng,thumbsup thumbsup hugs hugs
"Mình vẫn nói rõ mua 2 cái XL, nhưng 1 cái dài, 1 cái ngắn như hình. 
Nhắn tin, gửi hình rồi giải quyết lâu.",vẫn nói rõ mua cái xl nhưng cái dài cái ngắn như hình nhắn tin gửi hình giải quyết lâu,
"Giao hàng siêu nhanh, sản phẩm gần giống trong video, khác ở dây chun không có 2 nút màu đỏ; vải mỏng nhưng giá này thì ok, nhưng vừa nhận được hàng đũng quần đã bị rách bung chỉ",giao hàng siêu nhanh sản phẩm gần giống trong video khác ở dây chun không có nút màu đỏ vải mỏng nhưng giá ok nhưng vừa nhận được hàng đũng quần rách bung chỉ,
Đặt màu vàng nhưng lại giao màu đen. Mũ rất mỏng,đặt màu vàng nhưng giao màu đen mũ rất mỏng,
"Áo thun đẹp . Chất vải mịn, mát,co giãn tốt. Thấm hút mồ hôi. Rất đáng tiền.",áo thun đẹp chất vải mịn mát co giãn tốt thấm hút mồ hôi rất đáng tiền,
"Quần với áo đẹp, đúng như mẫu, chất xịn, nhưng mà giao hàng quá lâu, trong HN mà mất tới 10 ngày... Mặc dù mua size M nhưng áo quá rộng, rộng hơn cả áo thun oversize, mình đưa cho a mình 65kg mặc còn rộng",quần áo đẹp đúng như mẫu chất xịn nhưng mà giao hàng quá lâu trong mà mất tới ngày mặc dù mua size nhưng áo quá rộng rộng hơn cả áo thun oversize đưa cho a kg mặc còn rộng,
"Quần đẹp, chất rất mát tay, k mỏng, đường may chắc chắn, quá tốt vs mức giá",quần đẹp chất rất mát tay không mỏng đường may chắc chắn quá tốt mức giá,
"Shop giao hàng nhanh, đóng gói chắc chắn, giao đúng sản phẩm, áo dày đẹp, phần bo chỗ tay áo may cùng1 loại vải vs áo",giao hàng nhanh đóng gói chắc chắn giao đúng sản phẩm áo dày đẹp phần bo chỗ tay áo may cùng loại vải áo,
sản phâtm đẹp vừa tiền,sản đẹp vừa tiền,
Chỉ may ko đc chặt lắm,chỉ may không được chặt lắm,
Size L vừa to vừa dài mặc như váy !,size l vừa to vừa dài mặc như váy,
"Giao đúng màu, chất da xịn, dày dặn, rất đáng tiền. Thời gian giao hàng lâu xíu vì đây là hàng nội địa",giao đúng màu chất da xịn dày dặn rất đáng tiền thời gian giao hàng lâu xíu vì đây là hàng nội địa,
"Size xxl nhưng mà mặc vẫn chật 
Shop giao đúng hàng đủ hàng
Size hơi linh hoạt một xíu .
V3 mình 110",size xl nhưng mà mặc vẫn chật giao đúng hàng đủ hàng size hơi linh hoạt một xíu,
Giao hàng nhanh. Mà size 2XL nhỏ hơn size 2XL quần có khoá dưới ống. Hơi thất vọng,giao hàng nhanh mà size xl nhỏ hơn size xl quần có khoá dưới ống hơi thất vọng,
Hàng chất lượng tốt xứng đáng với giá tiền,hàng chất lượng tốt xứng đáng giá tiền,
Quá đẹp tưởng bự lắm chứ nhỏ xíu à mà cũng được khá okkk,quá đẹp tưởng bự lắm chứ nhỏ xíu à mà cũng được khá ok,
"Shop làm ăn kiểu gì vậy ạ, k giao hàng cho khách k nói 1 tiếng , chưa giao mà đã hỏi bạn đã nhận được hàng chưa là sao ?????????????????????????????",làm ăn kiểu gì không giao hàng cho khách không nói tiếng chưa giao mà hỏi bạn nhận được hàng chưa là,
"Tốt, đúng màu size",tốt đúng màu size,
Mình nói lấy 5mau mà shop gửi có 1mau vải thì xấu ko tả nổi,nói lấy mau mà gửi có mau vải xấu không tả nổi,
"Shop đóng gói đơn giản, form ví và chất da đẹp, tầm giá này là vừa",đóng gói đơn giản form ví chất da đẹp tầm giá là vừa,
"Áo rộng và dài lắm huhuu
Áo mua tặng nên không có ảnhhh
Sẽ quay lại mua tiếpppp",áo rộng dài lắm áo mua tặng nên không có ảnh sẽ quay mua tiếp,
"Cho shop 10 sao vì sự chuyên nghiệp này luôn,ví xinh đa man,sẽ tiếp tục ủng hộ❤️❤️❤️",cho vì sự chuyên nghiệp luôn ví xinh đa man sẽ tiếp tục ủng hộ,heart heart heart
"Dịch vụ của shop rất tốt nhg khi nhận đc hàng thì khá thất vọng.  
Ví dán keo bị bong chóc 1 ít,  phần da không thật.  Ngăn đựng tiền sơ sài rất xấu,  đểu.  Thks shop.",dịch vụ của rất tốt nhưng nhận được hàng khá thất vọng ví dán keo bong chóc ít phần da không thật ngăn đựng tiền sơ sài rất xấu đểu,
Đẹp nhưng giao hàng hơi lâu hơn 1 tí. Chất lượng cực kỳ nên mua nha chị em,đẹp nhưng giao hàng hơi lâu hơn tí chất lượng cực kỳ nên mua chị em,
mình k nhận được hàng do ấn nhầm nhận đơn và shipper k giao hàng cho mình luôn. nỗi buồn k ai thấu,không nhận được hàng do ấn nhầm nhận đơn không giao hàng cho luôn nỗi buồn không ai thấu,
"Rất thất vọng, shop giao sai màu, mình đặt màu bò nhạt lại giao cho mình màu bò đậm, hi vọng shop kiểm tra kĩ màu trước khi giao",rất thất vọng giao sai màu đặt màu bò nhạt giao cho màu bò đậm hi vọng kiểm tra kĩ màu trước giao,
Áo đệm hơi mỏng,áo đệm hơi mỏng,
Hàng đẹp lắm ạ 😍 giao nhanh nữa hôm qua đặt mà hôm nay đã về rồi lần sau sẽ ủng hộ shop tiếp ❤,hàng đẹp lắm giao nhanh hôm qua đặt mà hôm nay về lần sau sẽ ủng hộ tiếp,heart_eyes
"Nhắn shop lấy 1 bộ cam, 1 hồng thì gửi 2 bộ cam đã vậy màu áo k giống trên ảnh chút nào",nhắn lấy bộ cam hồng gửi bộ cam màu áo không giống trên ảnh chút nào,
Đã nhận đc mặc vừa thoáng mát tốt màu đẹp rất thích cảm ơn shop nha !!,nhận được mặc vừa thoáng mát tốt màu đẹp rất thích cảm ơn,
"Chọn size xl mà shop giao size 3xl thì sao mà mặc, shop làm k cẩn thận thế này k ai muốn mua lần 2 đâu",chọn size xl mà giao size xl mà mặc làm không cẩn thận không ai muốn mua lần,
"Size rất nhỏ, mô tả dưới 95kg nhưng M 90 kg mặc ko vừa",size rất nhỏ mô tả dưới kg nhưng kg mặc không vừa,
"Tất xinh, Giao hàng nhanh, săn sale 1k, quá hời, siêu ưng luôn á, 10đ 🤣🤣🤣🤣",tất xinh giao hàng nhanh săn sale không quá hời siêu ưng luôn á,rofl rofl rofl rofl
"Định mua tặng crush mà nó bơ con mẹ mình luôn rồi, giờ nhìn nó thấy đau lòng vãi cớttttt ra í. Khóc xong rồi thì cất vòng cổ lại vào thôi... buồn nên trừ 2 sao nha",định mua tặng crush mà bơ con mẹ luôn giờ nhìn thấy đau lòng vãi cớt ra í khóc xong cất vòng cổ vào buồn nên trừ,
Áo đẹp!  Luôn tin tưởng và ủng hộ  ❤ Mua lần 2 rồi vẫn rất hài lòng❤,áo đẹp luôn tin tưởng ủng hộ mua lần vẫn rất hài lòng,
"K giốg trong ảnh mấy , ví cứng tí nữa thì ok hơn",không trong ảnh mấy ví cứng tí ok hơn,
"Shop giao hàng hơi lâu nhưng rất rất oki nhaaaaaa, vừa rẻ vừa đẹp nữa",giao hàng hơi lâu nhưng rất rất vừa rẻ vừa đẹp,
San pham nhan nhhhnnbjsjsnncnhcxkzmznxjxjxjdjhhueusushsb,san pham nhan,
Mình đã mua và lần này là lần 2 đặt hàng. Rất ưng sẽ còn ủng hộ dài dài. Cảm ơn shop,mua lần là lần đặt hàng rất ưng sẽ còn ủng hộ dài dài cảm ơn,
Áo rẻ đẹp mọi ng nên mua,áo rẻ đẹp mọi nên mua,
"Hàng giao hàng nhanh chóng , sản phẩm y hình , đóng gói chắc chắn",hàng giao hàng nhanh chóng sản phẩm y hình đóng gói chắc chắn,
"Thời gian giao hàng dự kiến cho sản phẩm này là từ 7-9 ngày
 
 Chất liệu: silicon
 Kích thước: 8cm
 Loại sản phẩm: Dây buộc cáp nút bấm
 Hình dạng: Dây buộc cáp hình hoạt họa dễ thương
 
 #cablewinder #cartooncablewinder #Earphonemanagerment #cablefastener",thời gian giao hàng dự kiến cho sản phẩm là từ ngày chất liệu silicon kích thước cm loại sản phẩm dây buộc cáp nút bấm hình dạng dây buộc cáp hình hoạt dễ thương,
"Áo size M mà quá to, dài, chưa mặc mà giặt 1 lần đã thấy giãn ra rồi, ko mặc được, tiền nào của nấy thôi....",áo size mà quá to dài chưa mặc mà giặt lần thấy giãn ra không mặc được tiền nào của nấy,
Mặt kính rời ra luôn khi đeo,mặt kính rời ra luôn đeo,
Mình đặt ghim thỏ mà lại giao cột tóc trong khi ghim thỏ vẫn còn hàng là sao??,đặt ghim thỏ mà giao cột tóc trong ghim thỏ vẫn còn hàng là,
"Tất k có mác như ảnh
Chỉ tất trần k,chất lượng tất mỏng dão",tất không có mác như ảnh chỉ tất trần không chất lượng tất mỏng dão,
"Sáng nay vừa nhận gói hàng, do mình mua tặng nên mua cũng 8 bộ đồ cho bé. Khi nhận hàng mình có liên hệ nhờ shop đổi nhưng shop không hề thấy shop trả lời dù đã nhắn tin và cả điện thoại. Thật sự thấy thất vọng.",sáng nay vừa nhận gói hàng do mua tặng nên mua cũng bộ đồ cho bé nhận hàng có liên hệ nhờ đổi nhưng không hề thấy trả lời dù nhắn tin cả điện thoại thật sự thấy thất vọng,
Mỏng và yếu,mỏng yếu,
Shop nhiệt tình nên cho 5* ạ,nhiệt tình nên cho,
"ÔX chưa mặc thử nhưng sờ chất liệu vải thì ok, ủng hộ shop 5*",chưa mặc thử nhưng sờ chất liệu vải ok ủng hộ,
Áo lỗi. Bị thủng 1 lỗ,áo lỗi thủng lỗ,
Bán đồ không đúng size không đúng màu lựa chọn,bán đồ không đúng size không đúng màu lựa chọn,
"Khá thất vọng khi nhận đc hàng. Vải rất mỏng, sờ vào hơi nhám...",khá thất vọng nhận được hàng vải rất mỏng sờ vào hơi nhám,
Vải Đẹp chất luong sp tot. Form tuyệt vời,vải đẹp chất sản phẩm tot form tuyệt vời,
"Tại sao mua lần đầu tiên của shop cách đây mấy ngày thì chất đẹp đúng uniqlo nên quyết định đặt thêm 2 cái
 Mà lần này đặt thì mác uniqlo nhưng trong của hãng khác chất nóng, xấu hơn rất nhiều",tại mua lần đầu tiên của cách đây mấy ngày chất đẹp đúng nên quyết định đặt thêm cái mà lần đặt mác nhưng trong của hãng khác chất nóng xấu hơn rất nhiều,
"Mua lần 2 nhưng lần này quá tệ, chỉ thừa nhiều, vải lỗi, size 34 nhưng quần nhỏ ngắn và chật hơn lần trước...có 105k nên thôi k đổi lại...lần sau sẽ k mua nữa...",mua lần nhưng lần quá tệ chỉ thừa nhiều vải lỗi size nhưng quần nhỏ ngắn chật hơn lần trước có không nên không đổi lần sau sẽ không mua,
"Áo vải đan len khá mỏng, không biết độ bền bao lâu nữa, màu sắc thì khá chuẩn 👌 giá không rẻ nhưng bù lại form áo đẹp. Đánh giá 4 sao là chính xác nhe",áo vải đan len khá mỏng không biết độ bền bao lâu màu sắc khá chuẩn giá không rẻ nhưng bù form áo đẹp đánh giá là chính xác nhe,ok_hand
Quần đẹp co dãn tốt. Vải mềm mịn,quần đẹp co dãn tốt vải mềm mịn,
"Chất lượng sp kém, nhận hàng áo đã sờn, nhiều đường may lệch, cảm thấy không hài lòng",chất lượng sản phẩm kém nhận hàng áo sờn nhiều đường may lệch cảm thấy không hài lòng,
"Shop giao hàng nhanh, đóng gói chắc chắn, sản phẩm đẹp............",giao hàng nhanh đóng gói chắc chắn sản phẩm đẹp,
Chất vải khá tốt  nhưng size hơi lớn chút.  Nch sp ổn  đẹp,chất vải khá tốt nhưng size hơi lớn chút sản phẩm ổn đẹp,
"Bóp bong keo, hôi mùi nhựa quá",bóp bong keo hôi mùi nhựa quá,
"Vải hơi thô nóng ko seal Như ảnh 
Dày hơn màu trắng",vải hơi thô nóng không seal như ảnh dày hơn màu trắng,
"[TẤT CẢ SẢN PHẨM TẠI SHOP ĐỀU ĐƯỢC TẶNG KÈM TAG VÀ GIẤY THƠM Ạ 
MINIBAG BLACK PANASIC
📌 Kích cỡ : 24×17×6
- Điểm nổi bật :
🔜 Chất liệu PU cao cấp chống nước , với nhiều ngăn tiện dụng .
🔜 Thiết kế nhỏ gọn , mới lạ có phối viền phản quang siêu chất 
🔜 Chất liệu dày dặn đứng form , cực bền khi sử",tất cả sản phẩm tại đều được tặng kèm tag giấy thơm black kích cỡ điểm nổi bật chất liệu pu cao cấp chống nước nhiều ngăn tiện dụng thiết kế nhỏ gọn mới lạ có phối viền phản quang siêu chất chất liệu dày dặn đứng form cực bền sử,pushpin soon soon soon
Cặp lấy về tất bẩn ạ,cặp lấy về tất bẩn,
"Hàng đã nhận, ship hơi lâu, mặc được, đúng size, ko rách, có cái chọn màu xấu cho khách quá",hàng nhận ship hơi lâu mặc được đúng size không rách có cái chọn màu xấu cho khách quá,
"Giao hàng nhanh , chất lượng tuyệt vời luôn . Mua trúng đợt sale nên giá giảm nữa . Cho shop *****",giao hàng nhanh chất lượng tuyệt vời luôn mua trúng đợt sale nên giá giảm cho,
giao hàng chậm đặt size 45-54kg mà người 60kg vẫn mặc vừa :)) trong tn thì bảo đc kiểm tra hàng mà đên lúc nhận hàng lại kh cho kiểm ??,giao hàng chậm đặt size kg mà người kg vẫn mặc vừa trong tn bảo được kiểm tra hàng mà đên lúc nhận hàng không cho kiểm,
sai size,sai size,
Quần đẹp như hình. Canh flash sale nên mua được giá tốt. Cảm ơn shop nhiều nè!,quần đẹp như hình canh flash sale nên mua được giá tốt cảm ơn nhiều,
Sản phẩm dùng rất tốt màu lên đẹp và chất son lên môi không bị khô,sản phẩm dùng rất tốt màu lên đẹp chất son lên môi không khô,
"Đế khá cứng, đi lâu sẽ đau. Vải trên thân giày mỏng, mát. Size khá chuẩn",đế khá cứng đi lâu sẽ đau vải trên thân giày mỏng mát size khá chuẩn,
Hàng nào của nấy. Chất hơi nóng.,hàng nào của nấy chất hơi nóng,
nhận được sản phẩm đúng như mô tả vải co giản đẹp size đúng về chất lượng ok ủng hộ tiếp cho 3s vì vận chuyển quá lâu đơn tp mà giao như đơn tỉnh,nhận được sản phẩm đúng như mô tả vải co giản đẹp size đúng về chất lượng ok ủng hộ tiếp cho s vì vận chuyển quá lâu đơn mà giao như đơn tỉnh,
"mua cho em trai, nó kén mà cũng thik áo của shop. tay rộng thoải mái nó. nó khen hoài . sẽ mau thêm mẫu khác cho nó.",mua cho em trai kén mà cũng áo của tay rộng thoải mái nó khen hoài sẽ mau thêm mẫu khác cho,
Hôm qua mình vừa nhận hàng hôm nay mới mở ra xem thì túi bị rách vs sức lun cái quai ạ shop,hôm qua vừa nhận hàng hôm nay mới mở ra xem túi rách sức luôn cái quai,
Dịch vụ tuyệt vời. Mình nhận sản phẩm bị chật báo lại cho shop. Chỉ sau vài tiếng đã đc đổi sản phẩm. Một trải nghiệm ưng ý. Chúc shop luôn đông khách !,dịch vụ tuyệt vời nhận sản phẩm chật báo cho chỉ sau vài tiếng được đổi sản phẩm một trải nghiệm ưng ý chúc luôn đông khách,
